date,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11
733585.41964120371,0.0090000000000000011,0.01,0.016,0.01,0.012,0.014999999999999999,0.026000000000000002,0.045999999999999999,0.107,0.115,0.084000000000000005,0.057000000000000002
733585.44047453708,0.0030000000000000001,-0.0090000000000000011,-0.014999999999999999,0.0040000000000000001,0.017000000000000001,0.013000000000000001,0.017000000000000001,0.058000000000000003,0.062,0.078,0.048000000000000001,0.0
733585.46130787034,-0.001,-0.014,0.0,0.026000000000000002,0.02,0.018000000000000002,0.019,0.036000000000000004,0.13200000000000001,0.13300000000000001,0.072000000000000008,0.060999999999999999
733585.48214120371,0.0030000000000000001,-0.0060000000000000001,-0.0090000000000000011,-0.0070000000000000001,0.0,0.0060000000000000001,0.021999999999999999,0.065000000000000002,0.115,0.11,0.064000000000000001,0.027
733585.50297453708,-0.0030000000000000001,-0.0070000000000000001,-0.0090000000000000011,-0.0090000000000000011,0.014999999999999999,0.012,0.013000000000000001,0.044999999999999998,0.095000000000000001,0.111,0.035000000000000003,0.0
733585.52380787034,-0.002,-0.0040000000000000001,-0.0030000000000000001,-0.0060000000000000001,0.021000000000000001,0.016,0.042000000000000003,0.066000000000000003,0.050000000000000003,0.063,0.025000000000000001,-0.0030000000000000001
733585.54464120371,-0.0040000000000000001,-0.021000000000000001,-0.017000000000000001,-0.002,-0.002,0.010999999999999999,0.024,0.036999999999999998,-0.037999999999999999,-0.0030000000000000001,0.037999999999999999,0.044999999999999998
733585.56547453708,0.014999999999999999,0.0040000000000000001,0.0030000000000000001,0.021999999999999999,0.017000000000000001,0.028000000000000001,0.036999999999999998,0.062,0.059999999999999998,0.080000000000000002,0.091999999999999998,0.058000000000000003
733585.58630787034,-0.02,-0.019,-0.01,-0.002,0.001,-0.001,-0.0090000000000000011,0.0,0.048000000000000001,0.060999999999999999,0.031,0.018000000000000002
733585.60714120371,0.018000000000000002,0.01,0.018000000000000002,0.025000000000000001,0.02,0.019,0.017000000000000001,0.035000000000000003,0.11900000000000001,0.11800000000000001,0.078,0.052000000000000005
733585.62797453708,-0.0060000000000000001,-0.027,-0.01,0.013000000000000001,0.021000000000000001,0.024,0.02,0.021999999999999999,0.092999999999999999,0.051000000000000004,-0.029999999999999999,-0.017000000000000001
733585.64880787034,0.017000000000000001,0.016,0.012,0.02,0.043999999999999997,0.050000000000000003,0.036999999999999998,0.025000000000000001,0.086000000000000007,0.087000000000000008,0.024,0.029999999999999999
733585.66964120371,-0.01,-0.019,-0.0090000000000000011,-0.0030000000000000001,0.021999999999999999,0.043000000000000003,0.056000000000000001,0.059000000000000004,0.085000000000000006,0.097000000000000003,0.052000000000000005,0.049000000000000002
733585.69047453708,-0.0070000000000000001,-0.0060000000000000001,-0.001,0.0,0.013000000000000001,0.040000000000000001,0.032000000000000001,0.036000000000000004,0.109,0.099000000000000005,0.031,0.032000000000000001
733585.71130787034,-0.014,-0.016,-0.021000000000000001,-0.0030000000000000001,0.0080000000000000002,0.036000000000000004,0.034000000000000002,0.049000000000000002,0.049000000000000002,0.063,0.049000000000000002,0.042000000000000003
733585.73214120371,-0.0050000000000000001,-0.021999999999999999,-0.014999999999999999,0.002,0.0080000000000000002,0.010999999999999999,0.031,0.037999999999999999,0.062,0.064000000000000001,0.057000000000000002,0.040000000000000001
733585.75297453708,-0.0050000000000000001,-0.014,-0.025000000000000001,-0.016,0.0050000000000000001,0.023,0.052999999999999999,0.075999999999999998,0.044999999999999998,0.081000000000000003,0.092999999999999999,0.086000000000000007
733585.77380787034,-0.017000000000000001,-0.01,0.018000000000000002,0.027,0.036999999999999998,0.035000000000000003,0.039,0.049000000000000002,0.052999999999999999,0.071000000000000008,0.067000000000000004,0.065000000000000002
733585.79464120371,0.01,-0.02,-0.028000000000000001,-0.0030000000000000001,0.0,0.013000000000000001,0.074999999999999997,0.10300000000000001,0.095000000000000001,0.14799999999999999,0.16300000000000001,0.156
733585.81547453708,-0.012,-0.021000000000000001,-0.016,0.0080000000000000002,0.036000000000000004,0.057000000000000002,0.060999999999999999,0.064000000000000001,0.083000000000000004,0.084000000000000005,0.062,0.071000000000000008
733585.83630787034,0.010999999999999999,-0.0030000000000000001,-0.014,-0.013000000000000001,-0.001,0.0080000000000000002,0.050000000000000003,0.084000000000000005,0.050000000000000003,0.086000000000000007,0.10000000000000001,0.075999999999999998
733585.85714120371,0.001,-0.017000000000000001,-0.0090000000000000011,-0.013000000000000001,0.023,0.052999999999999999,0.060999999999999999,0.050000000000000003,0.037999999999999999,0.052000000000000005,0.060999999999999999,0.059999999999999998
733585.87797453708,0.026000000000000002,-0.0030000000000000001,-0.010999999999999999,-0.0040000000000000001,0.0080000000000000002,0.0040000000000000001,0.025000000000000001,0.063,0.057000000000000002,0.050000000000000003,0.047,0.016
733585.89880787034,-0.0030000000000000001,-0.001,-0.002,-0.0050000000000000001,0.0070000000000000001,0.0070000000000000001,0.02,0.052000000000000005,0.081000000000000003,0.084000000000000005,0.068000000000000005,0.043999999999999997
733585.91964120371,0.027,0.0090000000000000011,0.018000000000000002,0.021999999999999999,0.016,0.023,0.010999999999999999,0.032000000000000001,0.043000000000000003,0.035000000000000003,0.0070000000000000001,-0.0070000000000000001
733585.94047453708,0.013000000000000001,0.010999999999999999,0.0090000000000000011,0.0070000000000000001,-0.0050000000000000001,-0.0040000000000000001,0.012,0.028000000000000001,0.021000000000000001,0.0070000000000000001,0.0030000000000000001,-0.012
