date,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11
733585.41964120371,0.036999999999999998,0.036000000000000004,0.0080000000000000002,-0.0050000000000000001,-0.036000000000000004,-0.055,-0.081000000000000003,-0.125,-0.56900000000000006,-0.46800000000000003,-0.14899999999999999,-0.106
733585.44047453708,0.021000000000000001,0.037999999999999999,0.041000000000000002,0.018000000000000002,-0.029000000000000001,-0.060999999999999999,-0.052000000000000005,-0.124,-0.55500000000000005,-0.45500000000000002,-0.13300000000000001,-0.065000000000000002
733585.46130787034,0.073999999999999996,0.071000000000000008,0.075999999999999998,0.057000000000000002,0.037999999999999999,0.013000000000000001,-0.027,-0.087000000000000008,-0.53500000000000003,-0.42699999999999999,-0.092999999999999999,-0.021000000000000001
733585.48214120371,-0.027,-0.02,-0.023,-0.029000000000000001,-0.048000000000000001,-0.059999999999999998,-0.084000000000000005,-0.16300000000000001,-0.59099999999999997,-0.50900000000000001,-0.157,-0.087999999999999995
733585.50297453708,0.10100000000000001,0.095000000000000001,0.10000000000000001,0.076999999999999999,0.036999999999999998,0.014,-0.039,-0.125,-0.53600000000000003,-0.47200000000000003,-0.17500000000000002,-0.089999999999999997
733585.52380787034,-0.02,-0.021999999999999999,-0.031,-0.043999999999999997,-0.069000000000000006,-0.095000000000000001,-0.13700000000000001,-0.20100000000000001,-0.53300000000000003,-0.47000000000000003,-0.217,-0.13500000000000001
733585.54464120371,0.13800000000000001,0.151,0.14300000000000002,0.121,0.098000000000000004,0.053999999999999999,0.012,-0.051000000000000004,-0.30499999999999999,-0.255,-0.090999999999999998,0.013000000000000001
733585.56547453708,-0.078,-0.059000000000000004,-0.073999999999999996,-0.096000000000000002,-0.10100000000000001,-0.121,-0.154,-0.19800000000000001,-0.224,-0.20999999999999999,-0.159,-0.13500000000000001
733585.58630787034,0.122,0.122,0.122,0.115,0.085000000000000006,0.053999999999999999,0.014,-0.024,0.096000000000000002,0.047,-0.027,0.027
733585.60714120371,-0.072000000000000008,-0.086000000000000007,-0.10200000000000001,-0.122,-0.13,-0.152,-0.156,-0.16600000000000001,0.036000000000000004,-0.018000000000000002,-0.12,-0.125
733585.62797453708,0.13500000000000001,0.129,0.11900000000000001,0.10000000000000001,0.069000000000000006,0.027,-0.0050000000000000001,-0.033000000000000002,0.17200000000000001,0.082000000000000003,-0.023,-0.001
733585.64880787034,-0.088999999999999996,-0.088999999999999996,-0.096000000000000002,-0.106,-0.122,-0.13200000000000001,-0.14200000000000002,-0.14599999999999999,0.16800000000000001,0.107,-0.095000000000000001,-0.084000000000000005
733585.66964120371,0.11800000000000001,0.115,0.11600000000000001,0.098000000000000004,0.084000000000000005,0.036000000000000004,-0.013000000000000001,-0.036000000000000004,0.151,0.088999999999999996,0.001,0.029999999999999999
733585.69047453708,-0.023,-0.0090000000000000011,-0.018000000000000002,-0.042000000000000003,-0.069000000000000006,-0.112,-0.12,-0.112,0.12,0.059000000000000004,-0.069000000000000006,-0.081000000000000003
733585.71130787034,0.080000000000000002,0.087999999999999995,0.067000000000000004,0.048000000000000001,-0.001,-0.045999999999999999,-0.092999999999999999,-0.109,0.115,0.029999999999999999,-0.109,-0.089999999999999997
733585.73214120371,0.065000000000000002,0.052999999999999999,0.057000000000000002,0.042000000000000003,-0.0070000000000000001,-0.039,-0.029999999999999999,-0.037999999999999999,0.071000000000000008,0.036999999999999998,-0.026000000000000002,-0.024
733585.75297453708,0.035000000000000003,0.033000000000000002,0.029000000000000001,0.019,-0.021000000000000001,-0.085000000000000006,-0.14200000000000002,-0.17999999999999999,-0.058000000000000003,-0.113,-0.159,-0.14200000000000002
733585.77380787034,0.088999999999999996,0.083000000000000004,0.068000000000000005,0.055,0.045999999999999999,0.010999999999999999,-0.031,-0.067000000000000004,-0.056000000000000001,-0.059999999999999998,-0.040000000000000001,-0.021999999999999999
733585.79464120371,0.032000000000000001,0.019,0.014999999999999999,0.0,-0.032000000000000001,-0.072000000000000008,-0.14400000000000002,-0.184,-0.191,-0.20400000000000001,-0.19900000000000001,-0.14000000000000001
733585.81547453708,0.079000000000000001,0.068000000000000005,0.079000000000000001,0.086000000000000007,0.084000000000000005,0.056000000000000001,-0.012,-0.070000000000000007,-0.29499999999999998,-0.26600000000000001,-0.082000000000000003,-0.013000000000000001
733585.83630787034,0.0,0.018000000000000002,0.021999999999999999,-0.0040000000000000001,-0.036999999999999998,-0.057000000000000002,-0.11,-0.186,-0.53200000000000003,-0.47700000000000004,-0.23200000000000001,-0.121
733585.85714120371,0.057000000000000002,0.064000000000000001,0.066000000000000003,0.075999999999999998,0.068000000000000005,0.052999999999999999,-0.0030000000000000001,-0.070000000000000007,-0.34400000000000003,-0.32700000000000001,-0.11900000000000001,-0.027
733585.87797453708,-0.039,-0.028000000000000001,-0.026000000000000002,-0.043000000000000003,-0.055,-0.074999999999999997,-0.089999999999999997,-0.155,-0.247,-0.25,-0.17500000000000002,-0.113
733585.89880787034,0.086000000000000007,0.087000000000000008,0.075999999999999998,0.062,0.040000000000000001,0.021000000000000001,0.010999999999999999,0.0,-0.19900000000000001,-0.14999999999999999,-0.024,-0.001
733585.91964120371,-0.11600000000000001,-0.108,-0.109,-0.124,-0.124,-0.109,-0.088999999999999996,-0.108,-0.16200000000000001,-0.156,-0.11600000000000001,-0.094
733585.94047453708,0.109,0.111,0.087000000000000008,0.059999999999999998,0.053999999999999999,0.041000000000000002,0.037999999999999999,0.010999999999999999,-0.02,-0.024,0.017000000000000001,0.036000000000000004
